"ANO","DIADASEMANA","DIADOANO","DIADOMES","HUMOR","MES"
"2022","SATURDAY","1","1","FELIZ","JANUARY"
"2022","SUNDAY","2","2","OK","JANUARY"
"2022","MONDAY","3","3","ENTEDIANTE","JANUARY"
"2022","TUESDAY","4","4","OK","JANUARY"
"2022","WEDNESDAY","5","5","CHEIO","JANUARY"
"2022","THURSDAY","6","6","OK","JANUARY"
"2022","FRIDAY","7","7","ENTEDIANTE","JANUARY"
"2022","SATURDAY","8","8","FELIZ","JANUARY"
"2022","SUNDAY","9","9","ENTEDIANTE","JANUARY"
"2022","MONDAY","10","10","FELIZ","JANUARY"
"2022","TUESDAY","11","11","CALMO","JANUARY"
"2022","WEDNESDAY","12","12","FELIZ","JANUARY"
"2022","THURSDAY","13","13","CALMO","JANUARY"
"2022","FRIDAY","14","14","TRISTE","JANUARY"
"2022","SATURDAY","15","15","CHEIO","JANUARY"
"2022","SUNDAY","16","16","FELIZ","JANUARY"
"2022","MONDAY","17","17","ESTRESSANTE","JANUARY"
"2022","TUESDAY","18","18","TRISTE","JANUARY"
"2022","WEDNESDAY","19","19","CHEIO","JANUARY"
"2022","THURSDAY","20","20","ENTEDIANTE","JANUARY"
"2022","FRIDAY","21","21","CHEIO","JANUARY"
"2022","SATURDAY","22","22","FELIZ","JANUARY"
"2022","SUNDAY","23","23","ENTEDIANTE","JANUARY"
"2022","MONDAY","24","24","CANSATIVO","JANUARY"
"2022","TUESDAY","25","25","ENTEDIANTE","JANUARY"
"2022","WEDNESDAY","26","26","FELIZ","JANUARY"
"2022","THURSDAY","27","27","FELIZ","JANUARY"
"2022","FRIDAY","28","28","CANSATIVO","JANUARY"
"2022","SATURDAY","29","29","ENTEDIANTE","JANUARY"
"2022","SUNDAY","30","30","OK","JANUARY"
"2022","MONDAY","31","31","CANSATIVO","JANUARY"
"2022","TUESDAY","32","1","OK","FEBRUARY"
"2022","WEDNESDAY","33","2","CHEIO","FEBRUARY"
"2022","THURSDAY","34","3","FELIZ","FEBRUARY"
"2022","FRIDAY","35","4","OK","FEBRUARY"
"2022","SATURDAY","36","5","CANSATIVO","FEBRUARY"
"2022","SUNDAY","37","6","CANSATIVO","FEBRUARY"
"2022","MONDAY","38","7","CANSATIVO","FEBRUARY"
"2022","TUESDAY","39","8","FELIZ","FEBRUARY"
"2022","WEDNESDAY","40","9","FELIZ","FEBRUARY"
"2022","THURSDAY","41","10","ENTEDIANTE","FEBRUARY"
"2022","FRIDAY","42","11","ENTEDIANTE","FEBRUARY"
"2022","SATURDAY","43","12","FELIZ","FEBRUARY"
"2022","SUNDAY","44","13","CALMO","FEBRUARY"
"2022","MONDAY","45","14","CANSATIVO","FEBRUARY"
"2022","TUESDAY","46","15","OK","FEBRUARY"
"2022","WEDNESDAY","47","16","OK","FEBRUARY"
"2022","THURSDAY","48","17","CANSATIVO","FEBRUARY"
"2022","FRIDAY","49","18","ENTEDIANTE","FEBRUARY"
"2022","SATURDAY","50","19","FELIZ","FEBRUARY"
"2022","SUNDAY","51","20","FELIZ","FEBRUARY"
"2022","MONDAY","52","21","FELIZ","FEBRUARY"
"2022","TUESDAY","53","22","TRISTE","FEBRUARY"
"2022","WEDNESDAY","54","23","ENTEDIANTE","FEBRUARY"
"2022","THURSDAY","55","24","CANSATIVO","FEBRUARY"
"2022","FRIDAY","56","25","ENTEDIANTE","FEBRUARY"
"2022","SATURDAY","57","26","OK","FEBRUARY"
"2022","SUNDAY","58","27","ENTEDIANTE","FEBRUARY"
"2022","MONDAY","59","28","ENTEDIANTE","FEBRUARY"
"2022","TUESDAY","60","1","OK","MARCH"
"2022","WEDNESDAY","61","2","OK","MARCH"
"2022","THURSDAY","62","3","OK","MARCH"
"2022","FRIDAY","63","4","ENTEDIANTE","MARCH"
"2022","SATURDAY","64","5","FELIZ","MARCH"
"2022","SUNDAY","65","6","ENTEDIANTE","MARCH"
"2022","MONDAY","66","7","CANSATIVO","MARCH"
"2022","TUESDAY","67","8","OK","MARCH"
"2022","WEDNESDAY","68","9","OK","MARCH"
"2022","THURSDAY","69","10","OK","MARCH"
"2022","FRIDAY","70","11","OK","MARCH"
"2022","SATURDAY","71","12","FELIZ","MARCH"
"2022","SUNDAY","72","13","ENTEDIANTE","MARCH"
"2022","MONDAY","73","14","ENTEDIANTE","MARCH"
"2022","TUESDAY","74","15","ENTEDIANTE","MARCH"
"2022","WEDNESDAY","75","16","ESTRESSANTE","MARCH"
"2022","THURSDAY","76","17","CHEIO","MARCH"
"2022","FRIDAY","77","18","FELIZ","MARCH"
"2022","SATURDAY","78","19","OK","MARCH"
"2022","SUNDAY","79","20","ENTEDIANTE","MARCH"
"2022","MONDAY","80","21","OK","MARCH"
"2022","TUESDAY","81","22","ENTEDIANTE","MARCH"
"2022","WEDNESDAY","82","23","OK","MARCH"
"2022","THURSDAY","83","24","OK","MARCH"
"2022","FRIDAY","84","25","OK","MARCH"
"2022","SATURDAY","85","26","FELIZ","MARCH"
"2022","SUNDAY","86","27","OK","MARCH"
"2022","MONDAY","87","28","OK","MARCH"
"2022","TUESDAY","88","29","OK","MARCH"
"2022","WEDNESDAY","89","30","OK","MARCH"
"2022","THURSDAY","90","31","OK","MARCH"
"2022","FRIDAY","91","1","ENTEDIANTE","APRIL"
"2022","SATURDAY","92","2","ENTEDIANTE","APRIL"
"2022","SUNDAY","93","3","ENTEDIANTE","APRIL"
"2022","MONDAY","94","4","OK","APRIL"
